longitude,latitude
-97.9411111,29.8830556
-96.6458333,28.9783333
-157.8036111,21.4180556
-82.1888889,36.595
-73.4083333,41.1175
-86.2861111,33.5861111
-82.9841667,30.2947222
-118.3516667,33.9163889
-82.7344444,35.2333333
-73.5275,40.6686111
-83.7619444,37.1536111
-80.2536111,35.8238889
-83.3219444,36.8430556
-83.2330556,42.5377778
-72.1936111,41.3252778
-71.5666667,42.3916667
-98.6597222,38.1055556
-79.975,32.8544444
-122.3522222,45.5827778
-98.4933333,29.4238889
-85.7594444,38.2541667
-73.7133333,40.7008333
-73.9213889,41.7002778
-117.1563889,32.7152778
-104.7425,38.7583333
-95.3630556,29.7630556
-96.8,32.7833333
-71.4552778,42.9955556
-95.3630556,29.7630556
-85.6205556,44.7630556
-73.7633333,41.0338889
-87.9063889,43.0388889
-70.2830556,43.9627778
-105.27,40.015
-122.3308333,47.6063889
-118.6375,34.1577778
-122.9530556,46.7163889
-83.6533333,31.7058333
-75.6288889,35.235
-76.8847222,40.2736111
-85.6602778,30.1586111
-95.5575,29.6158333
-83.7247222,35.8905556
-97.7969444,32.7591667
-89.5888889,40.6936111
-85.9516667,36.2522222
-73.8955556,42.9097222
-91.9922222,34.1027778
-87.9063889,43.0388889
-122.2697222,37.8044444
-93.7169444,39.0725
-79.9311111,32.7763889
-84.3622222,39.4402778
-85.1411111,39.6411111
-111.8219444,33.4222222
-83.5961111,32.5436111
-92.9744444,43.6666667
-118.3258333,34.0983333
-112.0733333,33.4483333
-88.2811111,42.0372222
-115.1363889,36.175
-115.1363889,36.175
-117.425,47.6588889
-80.8102778,35.5847222
-84.5533333,35.265
-122.1330556,38.0194444
-94.6272222,39.1141667
-96.8,32.7833333
-117.1563889,32.7152778
-119.1361111,46.2113889
-122.0797222,37.6688889
-115.7427778,37.6447222
-97.4841667,41.6916667
-117.9163889,45.565
-84.3055556,44.8838889
-89.8611111,37.7241667
-80.0666667,26.525
-92.0844444,38.1266667
-84.6266667,38.9988889
-122.3308333,47.6063889
-122.635,47.5405556
-94.6336111,42.3952778
-122.0797222,37.6688889
-92.3736111,41.0041667
-119.7713889,36.7477778
-112.0733333,33.4483333
-75.9783333,36.8527778
-91.4844444,46.0130556
-123.3663889,44.5402778
-122.3308333,47.6063889
-84.4569444,39.1619444
-122.675,45.5236111
-118.1261111,34.0952778
-86.1580556,39.7683333
-77.4291667,38.8402778
-116.0925,42.9897222
-83.5688889,41.7791667
-78.7011111,33.8075
-106.6505556,35.0844444
